CNPJ,Razão Social
18.530.415/0001-32,
10.190.158/0001-25,PROLUV
18.574.042/0001-00,MARQUEZINY - ASSESSORIA EMPRESARIAL LTDA
18.575.935/0001-61,
18.697.679/0001-85,INSTITUTO OPINIAO
18.836.886/0001-73,AGENCIA SINAL
18.840.596/0001-01,
18.955.144/0001-67,YALE
19.068.812/0001-05,SUPERDENTAL
19.151.595/0001-04,
19.176.433/0001-20,
18.460.328/0001-56,
19.317.944/0001-15,AMG ASSESSORIA
19.336.914/0001-56,
19.354.213/0001-40,
19.356.652/0001-91,SOLSEK
19.521.234/0001-02,
19.532.665/0001-74,JC ASSESSORIA
19.557.327/0001-97,
19.652.313/0001-52,
19.708.481/0001-12,
17.217.638/0001-81,NABILE IT
19.727.855/0001-47,
19.774.615/0001-01,FULZE LIVE MARKETING
19.774.973/0001-06,PC CELL
19.794.839/0001-77,GUILHERME SANT ANA
19.857.708/0001-91,
19.863.431/0001-00,STUDIO EDUARDA LASTA
14.370.337/0001-03,NAZDAROVIA EVENTOS
19.928.676/0001-78,
20.013.939/0001-06,LPL TECNOLOGIA
20.069.297/0001-59,TORRES TECNOLOGIA E TREINAMENTO
20.101.603/0001-97,
20.494.863/0001-70,GEBIT SOFTWARES
20.503.711/0001-96,LSJ TI
20.789.456/0001-90,DUALPRO SOLUCOES EM TI
76.417.005/0031-00,SECRETARIA DE INFORMACAO E TECNOLOGIA
20.888.613/0001-14,
20.897.012/0001-78,CAMPIONI CARREIRA ESPORTIVA
20.927.285/0001-18,K11 COMUNICACAO
20.975.255/0001-87,
21.068.379/0001-41,
21.084.027/0001-80,
21.147.828/0001-47,VAR IMOVEIS
21.239.406/0001-00,
21.277.034/0001-06,IMAGISTICA FILMES
21.284.791/0001-07,
21.362.191/0001-01,
21.362.567/0001-88,
21.398.112/0001-12,EP GESTAO DE NEGOCIOS
21.413.061/0001-50,
21.504.010/0001-34,
21.560.116/0001-55,YOUFOCUS
21.563.898/0001-86,
21.645.490/0001-53,BS INFORMATICA
21.824.231/0001-90,
21.934.248/0001-08,SOLUWEB
22.041.970/0001-78,EBDA
22.062.309/0001-49,
22.091.983/0001-51,AORTODONTIA
22.118.332/0001-08,
15.358.346/0001-33,
22.169.298/0001-09,PIERRE A. PEREIRA TREINAMENTO E ASSESSORIA GERENCIAL
22.211.556/0001-60,
22.270.047/0001-08,
22.295.973/0001-38,
22.327.768/0001-07,
22.388.444/0001-89,
22.439.404/0001-19,
22.453.101/0001-50,
22.485.636/0001-03,
22.537.466/0001-63,
22.541.549/0001-26,
22.575.830/0001-80,
22.604.204/0001-74,
22.664.099/0001-69,
22.723.377/0001-01,
22.724.566/0001-07,EXPANDEL
22.798.028/0001-59,PSICOTRAUMAS UNIDADE BATEL
22.693.479/0001-21,
22.824.950/0001-73,
22.889.387/0001-11,CACHE FILMES
22.909.913/0001-68,
23.054.308/0001-15,
23.061.992/0001-62,
23.087.843/0001-72,MAX INTELIGENCIA FINANCEIRA
23.187.233/0001-40,PROSPECT SECURITIZADORA
23.196.575/0001-27,AGLITZ CONSULTORIA E ASSESSORIA
23.245.068/0001-36,
13.256.670/0001-15,METROLOGIC GROUP DO BRASIL
23.402.786/0001-79,
23.445.628/0001-04,3S - THREE SOFTWARE
23.463.072/0001-70,
21.151.786/0001-18,CTP COMERCIO
23.601.242/0001-36,
23.630.545/0001-87,OLAM CONSULTORIA
23.631.792/0001-06,NDK COMERCIO E SERVICOS DIGITAIS
23.701.866/0001-25,PLURIS AMBIENTAL
23.794.671/0001-77,TECTRIS BUSINESS SOLUTIONS
23.805.818/0001-87,
24.019.041/0001-98,MIRALUMO
15.916.988/0001-00,
19.273.443/0001-84,AMBIENCIA PRODUCOES AUDIOVISUAIS
24.189.322/0001-99,
24.233.852/0001-97,AOSL
24.346.288/0001-19,
24.357.463/0001-73,VOSS INTELLIGENCE
24.398.262/0001-14,
15.181.430/0001-24,
24.485.134/0001-08,
24.521.860/0001-39,
24.463.830/0001-13,
24.545.994/0001-90,
24.576.764/0001-98,
11.578.679/0001-17,
24.627.924/0001-80,DREAMS AND MAGIC ALTA PERFORMANCE
24.649.177/0001-81,J.B. PEREIRA SANTOS
24.657.741/0001-08,ALEF CORRETAGEM
20.529.916/0001-40,DECOL SOLUCOES EM TI
24.811.635/0001-37,DOCUMENTALIZE
24.833.181/0001-03,
24.900.043/0001-91,
24.908.520/0001-65,
24.910.393/0001-39,VENETOLANDIA SORVETERIA
24.998.120/0001-98,
25.000.991/0001-33,L & A INTERMEDIACOES DE CONSORCIOS
25.011.830/0001-45,MCRM RELACIONAMENTO & EXPANSAO
25.013.041/0001-43,F RANIERI
25.019.694/0001-30,
25.050.655/0001-03,ARCHVIZZ MAQUETES ELETRONICAS
25.060.163/0001-90,
25.069.470/0001-32,
25.080.150/0001-83,
25.090.930/0001-04,LIVE TECNOLOGIA
25.145.973/0001-40,INTELLIGENCE
25.148.019/0001-00,
25.228.629/0001-14,RUDFILMS
25.235.415/0001-75,SEVEN CO
24.924.496/0001-58,
25.282.442/0001-07,
25.286.446/0001-55,RADIOLA STUDIOS
15.137.427/0001-03,GP TECNOLOGIA E DESENVOLVIMENTO
25.316.904/0001-51,CARLET EVENTOS E ASSESSORIA ADMINISTRATIVA
19.879.546/0001-92,MISTAGOO
25.334.489/0001-69,ANMX
25.358.900/0001-36,
25.363.393/0001-29,SYCLON - WEB SOFTWARES
25.446.815/0001-20,
25.462.472/0001-97,LW TECNOLOGIA
25.533.463/0001-40,
23.715.239/0001-43,
24.751.436/0001-80,
19.085.780/0001-48,JESSE BARBOSA DOS SANTOS - SERVICOS
13.937.037/0001-92,OLIMPIO TECNOLOGIA
20.716.370/0001-37,
14.737.169/0001-33,
14.650.011/0001-21,
22.811.914/0001-75,
14.501.604/0001-26,
18.968.455/0001-60,VERDANT
10.282.989/0001-27,
19.259.129/0001-47,
14.528.841/0001-80,VISASOFT
21.924.224/0001-60,SOLUVISA
22.150.881/0001-60,BERCCI SEGUROS
24.814.201/0001-90,
08.771.391/0001-50,
14.133.194/0001-08,CONTINUITY CENTER
08.228.049/0001-08,DAL NEGRO PROCESSAMENTO DE DADOS
08.415.311/0001-23,EASY FILMES
15.070.003/0001-79,
25.208.226/0001-03,
15.820.506/0001-14,
11.097.018/0001-70,CURTTI & FANTAUSSI CONSULTORIA EM INFORMATICA
19.056.278/0001-09,
23.684.005/0001-86,CATALUNYA FILMES
08.144.740/0001-03,
20.885.673/0001-83,OPALA STUDIOS
20.465.898/0001-80,GRUPO MOVA
13.043.650/0001-66,
22.956.808/0001-80,MVP CONSULTORIA
09.594.636/0001-83,
13.519.605/0001-35,LIBERTY TELECOMUNICACOES 41
18.268.223/0001-08,
17.288.288/0001-44,
22.521.654/0001-01,
09.611.002/0001-91,
12.900.242/0001-10,
20.358.728/0001-05,
15.122.174/0001-02,M&M TECNOLOGIA
10.738.034/0001-31,
20.324.464/0001-60,DEYVCAR MULTIMARCAS
24.109.055/0001-00,
12.321.148/0001-07,CETEFE TREINAMENTOS E EVENTOS
18.071.909/0001-04,DS SALES
13.258.641/0001-92,MEC MATRIX
20.483.349/0001-39,
82.321.845/0005-77,
19.360.024/0001-80,LABIRINTO DE ARTES - SERIAL COMICOS
22.198.315/0001-28,MOBILIDADE SEGURA EAD
17.357.587/0001-93,FRESH LAB
13.731.954/0001-16,BETABIT SISTEMAS
23.402.025/0001-17,
